icd9	description
0010	cholera due to vibrio cholerae
0011	cholera due to vibrio cholerae el tor
0019	cholera unspecified
0020	typhoid fever
0021	paratyphoid fever a
0022	paratyphoid fever b
0023	paratyphoid fever c
0029	paratyphoid fever unspecified
0030	salmonella gastroenteritis
0031	salmonella septicemia
00320	localized salmonella infection unspecified
00321	salmonella meningitis
00322	salmonella pneumonia
00323	salmonella arthritis
00324	salmonella osteomyelitis
00329	other localized salmonella infections
0038	other specified salmonella infections
0039	salmonella infection unspecified
0040	shigella dysenteriae
0041	shigella flexneri
0042	shigella boydii
0043	shigella sonnei
0048	other specified shigella infections
0049	shigellosis unspecified
0050	staphylococcal food poisoning
0051	botulism food poisoning
0052	food poisoning due to clostridium perfringens c welchii
0053	food poisoning due to other clostridia
0054	food poisoning due to vibrio parahaemolyticus
00581	food poisoning due to vibrio vulnificus
00589	other bacterial food poisoning
0059	food poisoning unspecified
0060	acute amebic dysentery without mention of abscess
0061	chronic intestinal amebiasis without mention of abscess
0062	amebic nondysenteric colitis
0063	amebic liver abscess
0064	amebic lung abscess
0065	amebic brain abscess
0066	amebic skin ulceration
0068	amebic infection of other sites
0069	amebiasis unspecified
0070	balantidiasis
0071	giardiasis
0072	coccidiosis
0073	intestinal trichomoniasis
0074	cryptosporidiosis
0075	cyclosporiasis
0078	other specified protozoal intestinal diseases
0079	unspecified protozoal intestinal disease
00800	intestinal infection due to e coli unspecified
00801	intestinal infection due to enteropathogenic e coli
00802	intestinal infection due to enterotoxigenic e coli
00803	intestinal infection due to enteroinvasive e coli
00804	intestinal infection due to enterohemorrhagic e coli
00809	intestinal infection due to other intestinal e coli infections
0081	intestinal infection due to arizona group of paracolon bacilli
0082	intestinal infection due to aerobacter aerogenes
0083	intestinal infection due to proteus mirabilis morganii
00841	intestinal infection due to staphylococcus
00842	intestinal infection due to pseudomonas
00843	intestinal infection due to campylobacter
00844	intestinal infection due to yersinia enterocolitica
00845	intestinal infection due to clostridium difficile
00846	intestinal infection due to other anaerobes
00847	intestinal infection due to other gram negative bacteria
00849	intestinal infection due to other organisms
0085	bacterial enteritis unspecified
00861	enteritis due to rotavirus
00862	enteritis due to adenovirus
00863	enteritis due to norwalk virus
00864	enteritis due to other small round viruses srvs
00865	enteritis due to calicivirus
00866	enteritis due to astrovirus
00867	enteritis due to enterovirus nec
00869	enteritis due to other viral enteritis
0088	intestinal infection due to other organism not elsewhere classified
0090	infectious colitis enteritis and gastroenteritis
0091	colitis enteritis and gastroenteritis of presumed infectious origin
0092	infectious diarrhea
0093	diarrhea of presumed infectious origin
01000	primary tuberculous infection unspecified
01001	primary tuberculous infection bacteriological or histological examination not done
01002	primary tuberculous infection bacteriological or histological examination unknown at present
01003	primary tuberculous infection tubercle bacilli found in sputum by microscopy
01004	primary tuberculous infection tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01005	primary tuberculous infection tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01006	primary tuberculous infection tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01010	tuberculous pleurisy in primary progressive tuberculosis unspecified
01011	tuberculous pleurisy in primary progressive tuberculosis bacteriological or histological examination not done
01012	tuberculous pleurisy in primary progressive tuberculosis bacteriological or histological examination unknown at present
01013	tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli found in sputum by microscopy
01014	tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli not found in sputum by microscopy but found by bacterial culture
01015	tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli not found by bacteriological examination but tuberculosis confirmed histologically
01016	tuberculous pleurisy in primary progressive tuberculosis tubercle bacilli not found by bacteriological or histological examination but tuberculosis confirmed by other methods inoculation of animals
01080	other primary progressive tuberculosis unspecified
01081	other primary progressive tuberculosis bacteriological or histological examination not done
01082	other primary progressive tuberculosis bacteriological or histological examination unknown at present
